87,Mercury,Cougar,26.529,16.54,2,125,16,30
88,Mercury,Sable,67.956,19.035,3,153,16,24
89,Mercury,Grand Marquis,81.174,22.605,4.6,200,19,21
90,Mercury,Mountaineer,27.609,27.56,4,210,21,18
91,Mercury,Villager,20.38,22.51,3.3,170,20,21
92,Mercedes-B,C-Class,18.392,31.75,2.3,185,16.4,26
93,Mercedes-B,E-Class,27.602,49.9,3.2,221,21.1,25
94,Mercedes-B,S-Class,16.774,69.7,4.3,275,23.2,21
95,Mercedes-B,SL-Class,3.311,82.6,5,302,21.1,20
96,Mercedes-B,SLK,7.998,38.9,2.3,190,15.9,26
97,Mercedes-B,SLK230,1.526,41,2.3,185,14,27
98,Mercedes-B,CLK Coupe,11.592,41.6,3.2,215,16.4,26
99,Mercedes-B,CL500,0.954,85.5,5,302,23.2,20
100,Mercedes-B,M-Class,28.976,35.3,3.2,215,19,20
101,Nissan,Sentra,42.643,13.499,1.8,126,13.2,30
102,Nissan,Altima,88.094,20.39,2.4,155,15.9,25
103,Nissan,Maxima,79.853,26.249,3,222,18.5,25
104,Nissan,Quest,27.308,26.399,3.3,170,20,21
105,Nissan,Pathfinder,42.574,29.299,3.3,170,21,19
106,Nissan,Xterra,54.158,22.799,3.3,170,19.4,18
107,Nissan,Frontier,65.005,17.89,3.3,170,19.4,18
108,Oldsmobile,Cutlass,1.112,18.145,3.1,150,15.2,25
109,Oldsmobile,Intrigue,38.554,24.15,3.5,215,18,29
110,Oldsmobile,Alero,80.255,18.27,2.4,150,15,27
111,Oldsmobile,Aurora,14.69,36.229,4,250,18.5,22
112,Oldsmobile,Bravada,20.017,31.598,4.3,190,17.5,19
113,Oldsmobile,Silhouette,24.361,25.345,3.4,185,25,22
114,Plymouth,Neon,32.734,12.64,2,132,12.5,29
115,Plymouth,Breeze,5.24,16.08,2,132,16,27
116,Plymouth,Voyager,24.155,18.85,2.4,150,20,24
117,Plymouth,Prowler,1.872,43,3.5,253,12,21
118,Pontiac,Sunfire,51.645,21.61,2.4,150,15,27
119,Pontiac,Grand Am,131.097,19.72,3.4,175,15.2,25
120,Pontiac,Firebird,19.911,25.31,3.8,200,16.8,25
121,Pontiac,Grand Prix,92.364,21.665,3.8,195,18,25
122,Pontiac,Bonneville,35.945,23.755,3.8,205,17.5,24
123,Pontiac,Montana,39.572,25.635,3.4,185,25,23
124,Porsche,Boxter,8.982,41.43,2.7,217,17,22
125,Porsche,Carrera Coupe,1.28,71.02,3.4,300,17,21
126,Porsche,Carrera Cabrio,1.866,74.97,3.4,300,17,23
127,Saab,5-Sep,9.191,33.12,2.3,170,18.5,23
128,Saab,3-Sep,12.115,26.1,2,185,16.9,23
129,Saturn,SL,80.62,10.685,1.9,100,12.1,33
130,Saturn,SC,24.546,12.535,1.9,100,12.1,33
131,Saturn,SW,5.223,14.29,1.9,124,12.1,31
132,Saturn,LW,8.472,18.835,2.2,137,13.1,27
133,Saturn,LS,49.989,15.01,2.2,137,13.1,28
134,Subaru,Outback,47.107,22.695,2.5,165,16.9,25
135,Subaru,Forester,33.028,20.095,2.5,165,15.9,24
136,Toyota,Corolla,142.535,13.108,1.8,120,13.2,33
137,Toyota,Camry,247.994,17.518,2.2,133,18.5,27
138,Toyota,Avalon,63.849,25.545,3,210,18.5,26
139,Toyota,Celica,33.269,16.875,1.8,140,14.5,31
140,Toyota,Tacoma,84.087,11.528,2.4,142,15.1,23
141,Toyota,Sienna,65.119,22.368,3,194,20.9,22
142,Toyota,RAV4,25.106,16.888,2,127,15.3,27
143,Toyota,4Runner,68.411,22.288,2.7,150,18.5,23
144,Toyota,Land Cruiser,9.835,51.728,4.7,230,25.4,15
145,Volkswagen,Golf,9.761,14.9,2,115,14.5,26
146,Volkswagen,Jetta,83.721,16.7,2,115,14.5,26
147,Volkswagen,Passat,51.102,21.2,1.8,150,16.4,27
148,Volkswagen,Cabrio,9.569,19.99,2,115,13.7,26
149,Volkswagen,GTI,5.596,17.5,2,115,14.6,26
150,Volkswagen,Beetle,49.463,15.9,2,115,14.5,26
151,Volvo,S40,16.957,23.4,1.9,160,15.8,25
152,Volvo,V40,3.545,24.4,1.9,160,15.8,25
153,Volvo,S70,15.245,27.5,2.4,168,17.9,25
154,Volvo,V70,17.531,28.8,2.4,168,17.9,25
155,Volvo,C70,3.493,45.5,2.3,236,18.5,23
156,Volvo,S80,18.969,36,2.9,201,21.1,24
